#,Question,Option A,Option B,Option C,Option D,Option E,Correct Answer,Explanation,Domain,Competency
116,Which field in a Pod's specification is crucial for the kube-scheduler to determine if a node has sufficient resources?,spec.nodeName,spec.containers[].ports,spec.containers[].resources.requests,spec.serviceAccountName,spec.restartPolicy,C,The resources.requests field (for CPU and memory) indicates the minimum amount of resources the container needs. The scheduler uses this to filter out nodes that cannot meet these requests.,Kubernetes Fundamentals,Scheduling
117,What fundamental concept allows Kubernetes controllers to operate effectively without needing constant instructions?,Imperative command execution,The reconciliation loop (Control Loop),Direct manipulation of etcd,Event-driven webhooks,Stateful session management,B,"Controllers continuously watch the desired state (from the API server) and the current state (observed in the cluster), taking actions (via the API server) to make the current state match the desired state. This is the core principle of Kubernetes automation.",Kubernetes Fundamentals,Kubernetes Architecture
118,Which OCI (Open Container Initiative) specification defines how container runtimes should execute containers?,Image Specification,Distribution Specification,Runtime Specification (CRI is Kubernetes' interface to this),Network Specification (CNI is related),Storage Specification,C,The OCI Runtime Specification outlines how to run a container filesystem bundle. Kubernetes uses the Container Runtime Interface (CRI) as an abstraction layer over runtimes like containerd or CRI-O that implement this standard.,Kubernetes Fundamentals,Containers
119,You need to provide non-sensitive configuration data (like a URL endpoint or logging level) to a Pod. Which resource is most appropriate?,Secret,ConfigMap,Annotation,ResourceQuota,DownwardAPI,B,"ConfigMaps are designed specifically for decoupling non-sensitive configuration artifacts from container images, allowing configurations to be managed independently.",Kubernetes Fundamentals,Kubernetes Resources
120,"If you want a specific Pod to run on every node in the cluster (or a subset matching certain criteria), which workload resource should you use?",Deployment,StatefulSet,DaemonSet,Job,ReplicaSet,C,"A DaemonSet ensures that a copy of a Pod runs on all (or some specified) nodes. This is useful for node-level agents like log collectors, monitoring agents, or CNI plugins.",Kubernetes Fundamentals,Kubernetes Resources
121,"What does it mean for the Kubernetes API to be ""declarative""?",API calls must be made sequentially,"Users specify the desired end state, not the steps to reach it",The API only accepts YAML formatted requests,API responses always include the full resource specification,"The API can only create resources, not update or delete them",B,"Users declare the desired state of resources (e.g., ""I want 3 replicas of this Pod""). Kubernetes controllers then figure out the sequence of actions needed to achieve and maintain that state. Contrast this with imperative approaches (""run container X"", ""scale up by 1"").",Kubernetes Fundamentals,Kubernetes API
122,Which mechanism prevents the kube-scheduler from placing Pods on a Node that is undergoing maintenance or is otherwise unsuitable?,ResourceQuotas,NetworkPolicies,Taints on the Node and Tolerations on the Pod,PodDisruptionBudgets,PriorityClasses,C,"A Taint applied to a Node repels Pods. Pods can express Tolerations for specific taints, allowing them to be scheduled onto those nodes. This is commonly used to cordon nodes for maintenance or dedicate nodes for specific workloads.",Kubernetes Fundamentals,Scheduling
123,"What part of the Kubernetes system is responsible for managing the lifecycle of EndpointSlice objects, which track Pod IPs for Services?",kube-proxy,kubelet,endpointslice-controller (within kube-controller-manager),kube-scheduler,coredns / kube-dns,C,"The endpointslice-controller (part of kube-controller-manager) watches Services and their selector-matched Pods, creating and managing EndpointSlices to store the Pod IP addresses and port information efficiently. kube-proxy consumes this information.",Kubernetes Fundamentals,Kubernetes Architecture
124,Which component translates a Service's virtual IP address into actual Pod IP addresses on each node?,etcd,kube-apiserver,coredns / kube-dns,kube-proxy,kubelet,D,"kube-proxy, running on each node, watches Services and Endpoints/EndpointSlices. It programs network rules (e.g., iptables, IPVS) to intercept traffic destined for a Service's ClusterIP and directs it to one of the healthy backend Pod IPs.",Kubernetes Fundamentals,Kubernetes Architecture
125,A StatefulSet is often preferred over a Deployment for running databases. Why?,StatefulSets have simpler configuration,Deployments cannot use Persistent Storage,"StatefulSets provide stable, unique network IDs and persistent storage per Pod",Deployments automatically handle database schema migrations,StatefulSets require less CPU and memory resources,C,"StatefulSets provide guarantees crucial for stateful apps: stable network identifiers (e.g., db-0, db-1), stable persistent storage linked to each identity, and ordered, graceful deployment and scaling.",Kubernetes Fundamentals,Kubernetes Resources
126,What is the primary goal of the Open Container Initiative (OCI)?,To create a commercial container platform,To define open standards around container formats and runtime,To manage the Kubernetes source code repository,To develop container networking plugins (CNI),To provide free container image hosting,B,"OCI aims to establish common, open, minimal standards for container image formats and container runtime execution to ensure interoperability and prevent fragmentation in the container ecosystem.",Kubernetes Fundamentals,Containers
127,Which kubectl command is used to view the logs of a running container within a Pod?,kubectl get pod <pod-name> --logs,kubectl describe pod <pod-name>,kubectl logs <pod-name> [-c <container-name>],kubectl attach <pod-name> -c <container-name>,kubectl exec <pod-name> -- tail /var/log/messages,C,kubectl logs fetches the logs (stdout/stderr) from a specified container within a Pod. The -c flag is needed if the Pod has multiple containers.,Kubernetes Fundamentals,Kubernetes API
128,What is the function of an Admission Controller in the Kubernetes API request lifecycle?,To authenticate the user making the request,To authorize the requested operation,To mutate or validate API objects before they are persisted in etcd,To schedule the Pod onto a suitable node,To route network traffic to the correct Pod,C,"Admission Controllers intercept API requests after authentication and authorization but before persistence. They can mutate objects (e.g., inject sidecars, set default values) or validate them (e.g., enforce security policies, check resource quotas).",Kubernetes Fundamentals,Kubernetes API
129,"Which resource defines constraints on the total amount of compute resources (CPU, memory) that can be consumed within a specific Namespace?",LimitRange,ResourceQuota,NetworkPolicy,PodSecurityPolicy / PodSecurityAdmission,PriorityClass,B,"A ResourceQuota limits the aggregate resource consumption (CPU, memory, storage, object counts) within a Namespace, preventing overuse and ensuring fair sharing among users or teams.",Kubernetes Fundamentals,Kubernetes Resources
130,Consider a Pod that needs to perform a one-time initialization task before its main application container starts. Which container type is best suited for this?,Sidecar Container,Ephemeral Container,Init Container,Main Application Container,Job Container,C,"Init Containers run sequentially before the main application containers in a Pod start. They must complete successfully for the main containers to launch, making them ideal for setup tasks like database schema migration, fetching configuration, or waiting for dependencies.",Kubernetes Fundamentals,Containers
131,What is the purpose of the metadata.ownerReferences field in a Kubernetes object?,To specify the user who created the object,"To link the object to its managing controller (e.g., ReplicaSet to Deployment)",To list labels used for selecting the object,To store annotations related to the object's owner,To define the Namespace the object belongs to,B,"ownerReferences create parent-child relationships between objects. This enables cascading deletion (deleting the owner deletes dependents) and helps controllers identify the objects they manage. For example, a ReplicaSet Pod will have an ownerReference pointing to the ReplicaSet.",Kubernetes Fundamentals,Kubernetes Resources
132,Which statement best describes the relationship between Kubernetes and Docker (as of 2025)?,Kubernetes requires Docker to be installed on all nodes.,Docker is the only container runtime supported by Kubernetes.,"Kubernetes primarily interacts with container runtimes via CRI (e.g., containerd, CRI-O), abstracting Docker.",Docker manages the Kubernetes control plane components.,Kubernetes is a component within the Docker Enterprise platform.,C,"Kubernetes deprecated the direct Docker integration (dockershim). It now interacts with OCI-compliant runtimes like containerd (which Docker itself uses) or CRI-O via the Container Runtime Interface (CRI). While Docker might be installed, K8s doesn't use it directly in the same way.",Kubernetes Fundamentals,Containers
133,"If multiple Pods need to share persistent data, which volume type allows simultaneous mounting by multiple Pods (potentially with read/write access)?",hostPath,emptyDir,A PersistentVolume with an accessMode like ReadWriteMany (RWX),secret volume,configMap volume,C,"PersistentVolumes (PVs) represent external storage. Their accessModes define how they can be mounted. ReadWriteOnce (RWO) allows mounting by a single node, while ReadWriteMany (RWX) allows simultaneous read/write mounting by multiple nodes (requires a capable storage backend like NFS).",Kubernetes Fundamentals,Kubernetes Resources
134,"Which control plane component is primarily responsible for running controllers like the Node Controller, Deployment Controller, and Service Controller?",etcd,kube-apiserver,kube-scheduler,kube-controller-manager,cloud-controller-manager,D,"The kube-controller-manager bundles core Kubernetes controllers into a single binary. It runs controllers that handle node lifecycle, workload management (Deployments, ReplicaSets), service endpoints, namespace creation, etc.",Kubernetes Fundamentals,Kubernetes Architecture
135,What is the purpose of a LimitRange object within a Namespace?,To limit the total resource usage of the entire Namespace,To set default resource requests/limits for containers and validate min/max bounds,To restrict network traffic between Pods in the Namespace,To control which users can create resources in the Namespace,To define storage quotas for PersistentVolumeClaims,B,A LimitRange operates at the container/Pod level within a Namespace. It can enforce minimum/maximum resource constraints and specify default request/limit values if they aren't explicitly set in the Pod spec. ResourceQuota limits the Namespace total.,Kubernetes Fundamentals,Kubernetes Resources
136,Which kubectl command would you use to apply a configuration defined in my-app.yaml declaratively?,kubectl create -f my-app.yaml,kubectl replace -f my-app.yaml,kubectl apply -f my-app.yaml,kubectl patch -f my-app.yaml,kubectl run -f my-app.yaml,C,"kubectl apply is the standard command for declarative resource management. It creates resources if they don't exist or calculates and applies necessary changes if they do, based on the definition in the file.",Kubernetes Fundamentals,Kubernetes API
137,How does the kube-scheduler handle Pods with defined affinity rules?,It ignores affinity rules if resource requests cannot be met.,It uses affinity rules as the primary factor for node selection.,It considers affinity/anti-affinity rules during the filtering and scoring phases.,It delegates affinity processing to the kubelet.,"It only processes podAffinity, not nodeAffinity.",C,Affinity rules (node and inter-pod) influence scheduling decisions. Required affinity rules act as filters (nodes must match). Preferred affinity rules contribute to the scoring phase (nodes matching preferred rules get higher scores).,Kubernetes Fundamentals,Scheduling
138,"What is the concept of ""desired state reconciliation"" fundamental to Kubernetes?",Users manually reconcile cluster state using kubectl.,Controllers continuously observe and work to match actual state to declared state.,etcd automatically corrects discrepancies between desired and actual state.,kubelet reconciles container state based solely on node health.,The API server rejects any configuration that deviates from the current state.,B,"This is the core operational principle. Users declare the desired state (via API objects), and various controllers run loops comparing this desired state with the actual observed state, taking corrective actions (creating/deleting/updating resources) to close the gap.",Kubernetes Fundamentals,Kubernetes Architecture
139,Which resource attribute is primarily used by a Service to determine which Pods should receive traffic?,metadata.name,metadata.namespace,metadata.labels (matched by the Service's selector),spec.nodeName,status.podIP,C,"A Service definition includes a selector field, which specifies a set of labels. The Service continuously identifies Pods matching these labels and directs traffic to them (via Endpoints/EndpointSlices managed by controllers).",Kubernetes Fundamentals,Kubernetes Resources
140,"What type of container volume shares the Pod's lifecycle and is initially empty, useful for temporary data sharing between containers in a Pod?",hostPath,persistentVolumeClaim,emptyDir,nfs,secret,C,An emptyDir volume is created when a Pod is assigned to a node and exists as long as that Pod is running on that node. Its 1  contents are lost when the Pod is deleted. It's ideal for scratch space or sharing files between containers within the same Pod.,Kubernetes Fundamentals,Kubernetes Resources
141,Which Kubernetes API endpoint would kubectl get pods likely interact with?,/api/v1/nodes,/api/v1/namespaces/{namespace}/pods,/apis/apps/v1/deployments,/healthz,/metrics,B,"Core Kubernetes resources like Pods, Services, and Namespaces typically reside under the /api/v1 endpoint. The request would be scoped to a specific namespace (or query all namespaces) and target the pods resource type.",Kubernetes Fundamentals,Kubernetes API
142,What is a potential consequence of setting container resource limits much higher than requests?,Improved Pod scheduling priority,Reduced cost for node resources,"Potential for node resource exhaustion and Pod eviction (""noisy neighbor"" effect)",Faster container startup times,Automatic vertical scaling of the container,C,"Requests are used for scheduling, guaranteeing the resource. Limits enforce an upper bound. If limits are high, a container might consume resources needed by other Pods on the node, potentially leading to CPU throttling or OOM (Out Of Memory) kills and eviction if node pressure occurs.",Kubernetes Fundamentals,Scheduling
143,Which architectural pattern describes running a helper container alongside a main application container in the same Pod to provide auxiliary functionality?,Init Container,Ephemeral Container,Sidecar Container,Ambassador Container,Adapter Container,C,"The Sidecar pattern involves adding containers to a Pod to extend or enhance the main application container (e.g., for logging, monitoring, proxying) without modifying the main application's code. They share the same lifecycle and network/storage namespaces.",Kubernetes Fundamentals,Containers
144,How are API resources like Deployments and StatefulSets grouped in the Kubernetes API?,Under the core v1 API group (/api/v1),They are not part of any API group.,Under specific API groups like apps/v1,Under the scheduling.k8s.io API group,Under the batch/v1 API group,C,"Kubernetes organizes its API into groups to facilitate evolution. Workload resources like Deployments, StatefulSets, ReplicaSets, and DaemonSets are part of the apps API group, currently at version v1.",Kubernetes Fundamentals,Kubernetes API
145,"If a Node fails, what component detects this failure and updates the Node's status in etcd?",kubelet on the failed node,kube-proxy on peer nodes,node-controller (within kube-controller-manager),kube-scheduler,etcd itself through distributed consensus,C,"The node-controller, running within the kube-controller-manager, is responsible for monitoring Node health (based on heartbeats from kubelet) and updating the Node status (e.g., setting conditions like Ready to False or Unknown).",Kubernetes Fundamentals,Kubernetes Architecture
146,Which resource configuration allows a Pod to securely access the Kubernetes API server using the Pod's own identity?,Mounting a Secret containing API keys,Configuring a ServiceAccount for the Pod and mounting its token,Using hostNetwork: true,Defining an Ingress resource,Setting environment variables with kubeconfig data,B,"A ServiceAccount provides an identity for a Pod. Kubernetes automatically creates and mounts a token for this ServiceAccount into the Pod (unless disabled), which applications can use to authenticate to the API server. Permissions are granted via RBAC.",Kubernetes Fundamentals,Kubernetes Resources
147,What is the primary purpose of using annotations on Kubernetes resources?,To select resources for operations (like Services selecting Pods),To define resource constraints and quotas,To attach arbitrary non-identifying metadata (often used by tools),To specify the desired number of replicas for a workload,To enforce security policies on Pods,C,"While labels are for identifying and selecting objects, annotations are meant for attaching non-identifying metadata, often used by tools, libraries, or operators to store configuration, pointers, or state information relevant to their function.",Kubernetes Fundamentals,Kubernetes Resources
148,"In a typical Kubernetes cluster setup, where does the kube-scheduler run?",On every worker node,As a Pod managed by a DaemonSet,As a static Pod or systemd service on a control plane node,Inside the etcd cluster,As part of the kubelet binary,C,"The kube-scheduler is a critical control plane component. It usually runs directly on a control plane node, often managed as a static Pod (defined by a manifest file read by the kubelet on the control plane node) or as a system service.",Kubernetes Fundamentals,Kubernetes Architecture
149,What is a primary motivation for adopting container orchestration beyond simply running containers with a runtime like containerd?,To achieve higher density of containers on a single host.,"To automate deployment, scaling, healing, and networking of distributed applications.",To simplify the process of building container images from source code.,To provide a standardized container image format for portability.,To enforce strict kernel isolation between containers.,B,"While runtimes manage container lifecycle on a single host, orchestration automates complex tasks across a cluster of hosts, such as declarative deployments, auto-scaling based on load, self-healing of failed instances, service discovery, and load balancing.",Cloud Native Infrastructure,Container Orchestration Fundamentals
150,The Container Runtime Interface (CRI) in Kubernetes serves what key purpose?,To define the standard for container image formats.,To provide an API for kubelet to interact with different container runtimes.,To manage network plugin configurations (CNI).,To enforce security policies for container execution.,To schedule containers onto nodes.,B,"CRI is a plugin interface enabling kubelet to use various container runtimes (like containerd, CRI-O) without recompiling Kubernetes. It standardizes communication for operations like starting/stopping Pods and containers.",Cloud Native Infrastructure,Runtime
151,"In Kubernetes RBAC, what is the difference between a Role and a ClusterRole?","Role grants permissions to users, ClusterRole to ServiceAccounts.","Role is for read-only access, ClusterRole for write access.","Role is namespaced, ClusterRole is cluster-wide.","Role defines permissions, ClusterRole binds permissions to subjects.","Role is for built-in components, ClusterRole for custom resources.",C,"Role objects define permissions within a specific namespace, while ClusterRole objects define permissions that apply cluster-wide (e.g., to access nodes, persistent volumes, or resources across all namespaces).",Cloud Native Infrastructure,Security
152,Which Kubernetes networking component is responsible for ensuring that traffic sent to a Service's IP address is correctly routed to one of its backing Pods?,CNI plugin,kube-dns / CoreDNS,kube-proxy,Ingress controller,The API server's endpoint controller.,C,"kube-proxy runs on each node and maintains network rules (e.g., using iptables, IPVS) that implement Kubernetes Services. It watches the API server for Service and EndpointSlice changes and updates these rules accordingly.",Cloud Native Infrastructure,Networking
153,What fundamental problem does a Service Mesh aim to solve for microservices that is not inherently addressed by basic Kubernetes Services?,Providing stable IP addresses for Pods.,Exposing services to external traffic via HTTP/S routing.,"Adding advanced observability, security (mTLS), and traffic control between services.",Managing persistent storage for stateful applications.,Automating the build and deployment of container images.,C,"While Kubernetes Services provide basic L4 load balancing and service discovery, a Service Mesh (like Istio, Linkerd) adds a dedicated infrastructure layer for L7 concerns like fine-grained traffic management (canary, retries), mutual TLS (mTLS) between services, and detailed telemetry (metrics, traces).",Cloud Native Infrastructure,Service Mesh
154,What is the role of a PersistentVolumeClaim (PVC) in Kubernetes storage?,"It defines a specific type of storage backend (e.g., SSD, HDD).",It represents a piece of provisioned storage available in the cluster.,"It is a request for storage by a user/Pod, consuming a PersistentVolume.",It directly attaches a node's local disk to a Pod.,It manages the lifecycle of storage snapshots.,C,A PVC is a request for storage by a user. It consumes an existing PersistentVolume (PV) or can dynamically provision one if a StorageClass is configured. Pods then mount the PVC as a volume.,Cloud Native Infrastructure,Storage
155,"How does container orchestration typically facilitate ""self-healing"" for applications?",By automatically applying security patches to container images.,By using AI to predict and prevent application failures.,By monitoring application health and automatically restarting or replacing failed instances.,By providing detailed debugging tools for developers to fix application bugs faster.,By load balancing traffic away from nodes with high CPU usage.,C,"Orchestrators monitor the health of application instances (e.g., Pods). If an instance fails a health check or crashes, the orchestrator can automatically restart it or replace it with a new instance to maintain the desired state and availability.",Cloud Native Infrastructure,Container Orchestration Fundamentals
156,Which of these is a direct responsibility of an OCI-compliant container runtime like containerd?,Scheduling containers across a cluster of machines.,"Managing the lifecycle of containers on a single host (create, start, stop, delete).",Defining the desired state of application deployments.,Providing inter-service authentication using mTLS.,Allocating persistent storage volumes from cloud providers.,B,"Container runtimes like containerd are responsible for managing the complete container lifecycle on a single node, including pulling images, creating, starting, stopping, and deleting containers as instructed by a higher-level component like the kubelet.",Cloud Native Infrastructure,Runtime
157,What is the primary purpose of a ServiceAccount in Kubernetes security?,To provide an identity for human users to log into the cluster.,To define permissions for accessing Kubernetes API resources.,To provide a distinct identity for processes running inside Pods to interact with the API.,To securely store API tokens and certificates for external services.,To encrypt network traffic between Pods.,C,"ServiceAccounts are meant for processes within Pods, giving them an identity that can be authenticated by the API server and authorized via RBAC to perform specific actions. Human users typically use regular user accounts or external identity providers.",Cloud Native Infrastructure,Security
158,What role does the Container Network Interface (CNI) play in Kubernetes networking?,It defines the API for how kube-proxy implements Services.,It provides a specification for writing plugins to configure network interfaces for Pods.,It manages DNS resolution for Services and Pods within the cluster.,It enforces network policies to restrict traffic flow between Pods.,It provides a secure tunnel for control plane communication.,B,"CNI is a specification and a set of libraries for writing plugins to configure network interfaces in Linux containers. In Kubernetes, CNI plugins are responsible for connecting Pods to the cluster network and assigning IP addresses.",Cloud Native Infrastructure,Networking
159,Which feature is typically NOT offered as a core capability by a Service Mesh?,Automatic mTLS encryption between services.,"Fine-grained traffic routing (e.g., canary deployments, A/B testing).",Distributed tracing and observability metrics for inter-service communication.,Container image vulnerability scanning.,Resiliency features like retries and timeouts.,D,"Service Meshes focus on managing and securing inter-service communication (runtime concerns). Image vulnerability scanning is typically part of the CI/CD pipeline or a separate security tool, addressing build-time or registry concerns.",Cloud Native Infrastructure,Service Mesh
160,What is the primary function of a StorageClass in Kubernetes?,To directly provide storage to a Pod.,"To define different ""classes"" or types of storage for dynamic provisioning.",To claim a specific PersistentVolume for use.,To backup and restore data from PersistentVolumes.,To limit the amount of storage a namespace can consume.,B,"StorageClasses allow administrators to define different types of storage (e.g., ""fast-ssd"", ""cheap-hdd"", ""backup-storage"") with specific provisioners and parameters. This enables dynamic provisioning of PersistentVolumes when a PersistentVolumeClaim requests a certain class.",Cloud Native Infrastructure,Storage
161,"How does declarative configuration, a common feature in container orchestration, improve system reliability compared to imperative commands?",It executes commands faster.,It allows users to specify the exact sequence of operations for desired outcomes.,"It describes the desired state, allowing the orchestrator to continuously reconcile.",It requires less YAML or JSON to define resources.,It automatically selects the most performant hardware.,C,"With declarative configuration, users define the desired end state. The orchestrator then works to achieve and maintain this state, automatically correcting drift. This is more robust than imperative commands which specify how to do something and don't inherently handle drift.",Cloud Native Infrastructure,Container Orchestration Fundamentals
162,What is the significance of the dockershim component being removed from Kubernetes starting from v1.24?,Kubernetes no longer supports Docker-formatted container images.,Developers must use a different command-line tool instead of docker build.,"Kubernetes now directly uses container runtimes that implement CRI, like containerd.",All existing Docker containers must be rebuilt using a new OCI tool.,Pods can no longer run multiple containers.,C,"The removal of dockershim means Kubernetes no longer has built-in direct support for the Docker Engine as a runtime. Instead, it relies on runtimes that implement the Container Runtime Interface (CRI), such as containerd (which Docker itself uses) or CRI-O. Docker images still work.",Cloud Native Infrastructure,Runtime
163,"When a NetworkPolicy in Kubernetes selects a Pod, what does it primarily control?",The Pod's ability to access external services outside the cluster.,The amount of network bandwidth the Pod can consume.,The ingress and egress network traffic for that Pod at L3/L4.,The DNS resolution behavior for the Pod.,The encryption of data in transit for the Pod.,C,"NetworkPolicies act like firewalls for Pods. They specify which Pods (or other network endpoints) are allowed to communicate with the selected Pods (ingress) and which destinations the selected Pods are allowed to communicate with (egress) based on IP addresses, ports, and labels.",Cloud Native Infrastructure,Security
164,What is the primary mechanism for service discovery within a Kubernetes cluster for applications running in Pods?,Manually configuring IP addresses in application code.,Using NodePort services and node IPs.,"Kubernetes DNS (e.g., CoreDNS) resolving Service names to ClusterIPs.",Broadcasting service availability via UDP multicast.,Relying on a Service Mesh sidecar proxy.,C,"Kubernetes provides an internal DNS service (typically CoreDNS) that automatically creates DNS records for Services. Applications can discover other services by looking up their DNS names (e.g., my-service.my-namespace.svc.cluster.local), which resolve to the Service's ClusterIP.",Cloud Native Infrastructure,Networking
165,"If a company wants to implement zero-trust security for inter-service communication within their Kubernetes cluster, what would a Service Mesh primarily contribute?",Encrypting persistent data at rest.,Enforcing strong authentication and authorization for kubectl users.,Providing automatic mutual TLS (mTLS) between all services in the mesh.,Scanning Pods for known vulnerabilities.,Managing firewall rules at the cluster's edge.,C,"A key feature of many Service Meshes is the ability to automatically establish and enforce mTLS for all traffic between services in the mesh. This encrypts traffic and ensures that services mutually authenticate each other, a core tenet of zero-trust networking.",Cloud Native Infrastructure,Service Mesh
166,The Container Storage Interface (CSI) was developed to address what challenge in Kubernetes storage?,To provide a standard for defining StorageClass parameters.,To enable third-party storage vendors to develop plugins without modifying core Kubernetes code.,To improve the performance of hostPath volumes.,To automate the backup and restore of PersistentVolumes.,To define how containers should access configuration data.,B,"CSI is a standard for exposing block and file storage systems to containerized workloads. It allows storage vendors to create plugins that integrate with Kubernetes (and other orchestrators) to manage storage lifecycles, without needing their code to be part of the Kubernetes core.",Cloud Native Infrastructure,Storage
167,Which of these is NOT a typical benefit of using a container orchestrator for managing applications?,Improved resource utilization through bin packing.,Simplified application code logic for handling infrastructure failures.,Abstracted underlying infrastructure differences.,Automatic conversion of monolithic applications to microservices.,Enhanced scalability and availability of applications.,D,"Orchestrators help deploy and manage microservices (and even well-architected monoliths), but they do not automatically refactor or convert application code from a monolithic architecture to a microservices architecture. That's a software design and development effort.",Cloud Native Infrastructure,Container Orchestration Fundamentals
168,"What is a key characteristic of runc, often used by higher-level runtimes like containerd?",It's a full-fledged container orchestrator.,It provides a command-line tool for building OCI-compliant images.,It's a low-level OCI runtime responsible for spawning and running containers.,It's a CNI plugin for configuring Pod networking.,It's a distributed key-value store for container metadata.,C,runc is a CLI tool for spawning and running containers according to the OCI specification. Higher-level runtimes like containerd use runc (or similar OCI runtimes) under the hood to actually execute the containers.,Cloud Native Infrastructure,Runtime
169,"What is the primary purpose of Secrets in Kubernetes, and how are they typically made available to Pods?",To store arbitrary non-sensitive configuration; as environment variables or files.,"To store sensitive data (e.g., passwords, tokens); as environment variables or volume mounts.",To define network policies; applied directly by kubelet.,To store TLS certificates for Ingress; only used by Ingress controllers.,To store container image pull credentials; only used by kubelet.,B,"Secrets are designed for sensitive information. While they can be used for image pull credentials, their broader use is for application secrets. They are base64 encoded (not encrypted by default in etcd) and can be mounted as files into Pods or exposed as environment variables.",Cloud Native Infrastructure,Security
170,An Ingress resource in Kubernetes provides what type of functionality?,L4 TCP/UDP load balancing for internal services.,"Management of external HTTP/S access to services, with host/path based routing.",Network isolation between Pods within the same namespace.,Dynamic provisioning of persistent storage for web servers.,A CNI plugin implementation for advanced networking features.,B,"Ingress objects manage external access to services in a cluster, typically HTTP/S. They provide L7 features like host-based routing (e.g., foo.example.com) and path-based routing (e.g., example.com/bar), acting as a reverse proxy. An Ingress controller implements these rules.",Cloud Native Infrastructure,Networking
171,"In the context of a Service Mesh, what does ""traffic splitting"" commonly refer to?",Dividing network bandwidth equally among all services.,"Routing a percentage of traffic to different versions of a service (e.g., for canary).",Encrypting only a portion of the traffic between services.,Splitting large data packets into smaller frames for transmission.,Blocking traffic from specific IP address ranges.,B,"Traffic splitting is a Service Mesh capability that allows routing specific percentages of incoming requests to different versions of a service. This is crucial for deployment strategies like canary releases or A/B testing, allowing gradual rollouts and risk mitigation.",Cloud Native Infrastructure,Service Mesh
172,"If a Pod needs temporary scratch space that is empty upon creation and deleted when the Pod terminates, which volume type is most appropriate?",hostPath,persistentVolumeClaim,emptyDir,configMap,nfs,C,"An emptyDir volume is created when a Pod is assigned to a node. It is initially empty, and its contents are deleted when the Pod is removed from the node. It's useful for scratch space or sharing files between containers in the same Pod.",Cloud Native Infrastructure,Storage
173,What is a key security implication of running containers as a non-root user?,It prevents containers from accessing network resources.,It reduces the potential impact if the container process is compromised.,It allows containers to bypass RBAC checks for API access.,It disables the container runtime's ability to pull images from private registries.,It encrypts all data written by the container to its filesystem.,B,"Running container processes as a non-root user is a security best practice. If an attacker compromises the process, they gain the privileges of that non-root user, which are significantly less than root, limiting their ability to harm the host system or other containers.",Cloud Native Infrastructure,Security
174,What is the typical interaction flow when kubelet needs to start a Pod using a CRI-compliant runtime?,kubelet directly calls runc to create the container.,kubelet sends a request to the CRI gRPC server implemented by the runtime.,"kubelet updates etcd, and the runtime reads the changes.",kubelet instructs kube-proxy to prepare the network for the runtime.,kubelet uses kubectl commands to tell the runtime what to do.,B,"kubelet acts as a client to the CRI gRPC server implemented by the container runtime (e.g., containerd). It sends requests like RunPodSandbox (to create the Pod's environment) and CreateContainer/StartContainer for each container in the Pod.",Cloud Native Infrastructure,Runtime
175,"In Kubernetes, what is the purpose of an EndpointSlice object in relation to a Service?",To define the external IP address for a LoadBalancer Service.,To store the DNS configuration for a Service.,To efficiently track and provide the IP addresses and ports of Pods backing a Service.,To enforce network policies for traffic destined to a Service.,To manage TLS termination for a Service.,C,"EndpointSlices offer a more scalable and extensible way to track the network endpoints (Pod IPs and ports) that a Service routes to. They replaced the older Endpoints object for improved performance, especially in large clusters with many Pods per Service.",Cloud Native Infrastructure,Networking
176,Which component of a Service Mesh architecture is typically injected as a sidecar container into application Pods?,The control plane's central policy manager.,"The data plane proxy (e.g., Envoy, Linkerd2-proxy).",The certificate authority for issuing mTLS certificates.,The metrics collection and aggregation server.,The UI dashboard for visualizing mesh topology.,B,"In a Service Mesh, a data plane proxy (like Envoy or Linkerd2-proxy) is usually deployed as a sidecar container alongside each application container in the Pod. This proxy intercepts all network traffic to and from the application container, enabling the mesh's features.",Cloud Native Infrastructure,Service Mesh
177,"A StatefulSet requires stable, unique network identifiers for its Pods. How is this typically achieved in Kubernetes?",By manually assigning static IP addresses to each Pod.,Through a headless Service that creates DNS records for each Pod.,Using hostNetwork: true for all Pods in the StatefulSet.,By relying on CNI plugins to assign predictable IPs from a predefined range.,By using NetworkPolicy to restrict Pod IPs.,B,"StatefulSets often use a headless Service (a Service with clusterIP: None). This causes DNS to create A records for each Pod (e.g., mypod-0.my-service.my-namespace) that resolve directly to the Pod's IP, providing stable, resolvable hostnames.",Cloud Native Infrastructure,Networking
178,"When using dynamic provisioning for Kubernetes storage, what happens if a PersistentVolumeClaim requests a StorageClass that does not exist?",The PVC remains in a Pending state indefinitely or until the class is created.,Kubernetes automatically creates a default StorageClass and uses it.,The Pod attempting to use the PVC will fail to start with a network error.,The PVC will use any available PersistentVolume regardless of its StorageClass.,The request defaults to using hostPath storage on the assigned node.,A,"If a PVC specifies a StorageClass that doesn't exist, and no default StorageClass is able to fulfill the request, the PVC will remain in the Pending state because no storage can be dynamically provisioned to satisfy its requirements.",Cloud Native Infrastructure,Storage
